,id,name,imageUrl,thumbnailUrl,mobileImageUrl,productCount,comparable,discountedCount,childCount,children,boutique,slug,preferredDisplayStyle,promotionContentType,promotionContentId,promotionRecommendationCarouselId
0,1,Élelmiszer,,,https://ahuazurewebblob0.blob.core.windows.net/auchan/cache/category_mobile/category/11516299/E%CC%81lelmiszer.png,12621,False,492,9,[],False,elelmiszer,icon_style,,,
1,4,Elektronika,,,https://ahuazurewebblob0.blob.core.windows.net/auchan/cache/category_mobile/category/11240575/Elektronika.png,4937,True,251,9,[],False,elektronika,image_style,,,
2,5549,Tartós élelmiszerek,,,https://ahuazurewebblob0.blob.core.windows.net/auchan/cache/category_mobile/category/11516434/Tarto%CC%81s%20e%CC%81lelmiszerek.png,3826,False,94,12,[],False,tartos-elelmiszerek,,,,
3,5551,"Édesség, csokoládé, nasi",,,https://ahuazurewebblob0.blob.core.windows.net/auchan/cache/category_mobile/category/11240095/E%CC%81desse%CC%81g%2C%20csokola%CC%81de%CC%81%2C%20nasi.png,1305,False,56,13,[],False,edesseg-csokolade-nasi,,banner,1360,
4,5552,Egészséges életmód,,,https://ahuazurewebblob0.blob.core.windows.net/auchan/cache/category_mobile/category/11240125/Ege%CC%81szse%CC%81ges%20e%CC%81letmo%CC%81d.png,1433,False,51,7,[],False,egeszseges-eletmod,,,,
5,5553,Fagyasztott élelmiszer,,,https://ahuazurewebblob0.blob.core.windows.net/auchan/cache/category_mobile/category/11240101/Fagyasztott%20e%CC%81lelmiszer.png,750,False,37,9,[],False,fagyasztott-elelmiszer,,,,
6,5554,"Háztartási-, vegyi- és papíráru",,,https://ahuazurewebblob0.blob.core.windows.net/auchan/cache/category_mobile/category/11240284/Ha%CC%81ztarta%CC%81si-%2C%20vegyi-%20e%CC%81s%20papi%CC%81ra%CC%81ru.png,1470,False,304,10,[],False,haztartasi-vegyi-es-papiraru,,,,
7,5555,"Hús, felvágott, hal, kényelmi ételek",,,https://ahuazurewebblob0.blob.core.windows.net/auchan/cache/category_mobile/category/11240047/Hu%CC%81s%2C%20felva%CC%81gott%2C%20hal%2C%20ke%CC%81nyelmi%20e%CC%81telek.png,960,False,61,5,[],False,hus-felvagott-hal-kenyelmi-etelek,,,,
8,5556,"Italok, kakaó, tea, kávé",,,https://ahuazurewebblob0.blob.core.windows.net/auchan/cache/category_mobile/category/11240113/Italok%2C%20kakao%CC%81%2C%20tea%2C%20ka%CC%81ve%CC%81.png,1599,False,37,11,[],False,italok-kakao-tea-kave,,banner,1360,
9,5557,"Pékáruk, kenyerek, cukrászat",,,https://ahuazurewebblob0.blob.core.windows.net/auchan/cache/category_mobile/category/11240053/Pe%CC%81ka%CC%81ruk%2C%20kenyerek%2C%20cuktra%CC%81szat.png,396,False,17,9,[],False,pekaruk-kenyerek-cukraszat,,banner,1357,
10,5558,Szépségápolás,,,https://ahuazurewebblob0.blob.core.windows.net/auchan/cache/category_mobile/category/11240230/Sze%CC%81pse%CC%81ga%CC%81pola%CC%81s.png,2323,False,39,15,[],False,szepsegapolas,,,,
11,5559,"Tejtermék, tojás, sajt",,,https://ahuazurewebblob0.blob.core.windows.net/auchan/cache/category_mobile/category/11516395/Tejterme%CC%81k%2C%20toja%CC%81s%2C%20sajt.png,1378,False,44,9,[],False,tejtermek-tojas-sajt,,,,
12,5560,Zöldség - gyümölcs,,,https://ahuazurewebblob0.blob.core.windows.net/auchan/cache/category_mobile/category/11240050/Zo%CC%88ldse%CC%81g%20-%20gyu%CC%88mo%CC%88lcs.png,437,False,12,7,[],False,zoldseg-gyumolcs,,,,
13,5561,"Ételízesítés, fűszerek",,,,430,False,1,11,[],False,etelizesites-fuszerek,,,,
14,5562,"Kényelmi ételek, hidegkonyha",,,,119,False,10,5,[],False,kenyelmi-etelek-hidegkonyha,,,,
15,5563,Instant ételalapok és levespor,,,,174,False,0,5,[],False,instant-etelalapok-es-levespor,,,,
16,5564,Kávéízesítő,,,,7,False,0,0,[],False,kaveizesito,,banner,1360,
17,5565,"Konzervek, savanyúságok",,,,678,False,8,12,[],False,konzervek-savanyusagok,,,,
18,5566,"Méz, lekvár és mogyorókrém",,,,162,False,0,3,[],False,mez-lekvar-es-mogyorokrem,,,,
19,5567,"Müzli, gabonapehely",,,,220,False,10,4,[],False,muzli-gabonapehely,,,,
20,5568,Nemzetközi konyha,,,,832,False,20,13,[],False,nemzetkozi-konyha,,,,
21,5569,"Rizs, tészta, reformköret",,,,342,False,9,6,[],False,rizs-teszta-reformkoret,,,,
