,id,Energia (kJ / kcal),Zsír (g), Telített zsírsavak  (g),Szénhidrát  (g), Cukrok  (g),Fehérje (g),Só (g),Rost  (g),Folsav (µg),Nátrium (g), Poliolok  (g), Egyszeresen telítetlen zsírsavak  (g), Többszörösen telítetlen zsírsavak  (g), Ebből koleszterin, Keményítő  (g),A vitamin (µg),D vitamin (µg),E vitamin (mg),K vitamin (µg),C vitamin (mg),Tiamin (mg),Riboflavin (mg),Niacin (mg),B6 vitamin (mg),B 12 vitamin (µg),Biotin (µg),Pantoténsav (mg),Kálium (mg),Klorid (mg),Kalcium (mg),Foszfor (mg),Magnézium (mg),Vas (mg),Cink  (mg),Réz  (mg),Mangán  (mg),Fluor (µg),Szelén (µg),Króm (µg),Molibdén (µg),Jód (µg)
0,3687481,100.000000/,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3719638,100.000000/,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3687478,100.000000/,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3685162,630.000000/152.000000,10.000000,0.800000,10.000000,7.000000,2.000000,0.700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,36463,2359/566,35.0000,15.8000,58.0000,25.0000,4.4000,0.1000,0.1000,200.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3634583,2436/586,43.0000,26.0000,41.0000,21.0000,6.4000,0.2600,4.4000,200.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,36487,,,18,,22,6,"0,28","3,8",200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,36466,2150/516,32.0000,23.0000,46.0000,28.0000,7.3000,0.2900,9.8000,200.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3683279,1533/370,"14,5","12,8","53,2","15,5","4,0","0,16","15,7",,,"26,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,3634585,2046/488,21.6000,13.8000,64.0000,21.5000,8.0000,"0,27",2.9000,200.0000,0.1009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,36469,,,23,,24,"4,8","0,24","2,7",200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,3843290,100,"2,4","0,7",16,2,"2,9","0,74",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,32971,1492/351,0.5000,0.3000,79.4000,0.0000,7.4000,0.0000,1.6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,4037939,869/203,"15,1","3,3",0,0,"12,4","1,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,3636486,2370/576,61.0000,9.8000,1.4000,0.0000,4.7000,1.2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,33562,507/120,"1,2","0,2",23,"6,0","2,7","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,3981547,Nem,Nem,Nem,Nem,Nem,Nem,nincs,Nem,nincs,,Nem,Nem,Nem,,Nem,nincs,Nem,nincs,nincs,nincs,nincs,nincs,nincs,nincs,nincs,nincs,nincs,nincs,nincs,nincs,nincs,nincs,nincs,nincs,nincs,nincs,nincs,nincs,nincs,nincs,nincs
17,4002226,100 g,100 g,100 g,100 g,100 g,100  g,100 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,3948004,906/217,13.0000,3.6000,0.0000,0.0000,25.0000,1.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,3948232,1540/368,32.0000,3.4000,0.0000,0.0000,20.0000,0.7800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,3634619,1401/333 ,"2,3","0,5","53,7","0,1","20,1","0,39","11,5",,,"3,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,40144,446/105,0.1000,0.1000,25.0000,24.0000,0.6000,0.0100,0.9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,3975901,100g,100g,100g,100g,100g,100g,100g,100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,3641387,1925/467,36.0000,22.0000,32.0000,0.5000,6.0000,0.2000,19.0000,,,29.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,4074468,1550/368,"9,92","9,55",66,65,"1,2","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,3978922,2238.000000/538.000000,34.000000,14.000000,42.000000,38.000000,11.000000,0.010000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,46454,2153/516,28.7000,12.6000,58.5000,48.5000,5.9000,0.2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,3832805,2243/537,31.4000,17.3000,55.6000,50.4000,6.2000,0.2500,2.8000,,,"2,9000","2,9000","2,9000",,"2,9000","2,9000","2,9000",,,2.9000,,,,,,2.9000,,,,,,,,,,,,,,,
28,3744052,2471/593,38.6000,17.6000,53.6000,45.1000,6.7000,0.2640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,4116666,1797/425,6,"2,4",92,86,"0,6","0,01","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,4116663,1757/415,"5,9","2,5",89,82,"1,1","0,01","0,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,40399,1401 /333 ,"6,2","2,5",76,5,"5,2","0,07","3,5",,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,4116660,1614/419,"5,1","1,9",92,85,1,"0,02","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,4116672,2386/570,36,22,55,55,6,"0,21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,4043337,1944/472,51,"3,9","1,7","1,3","0,7","3,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,4116669,1681/396,"0,5","0,1",98,96,1,"0,01","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,4072505,1546/367,"2,2","0,5","70,7",3,"13,9","0,10",,,,,"4,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,3637020,1726/411,13.0000,6.8000,51.5000,18.0000,21.0000,0.3500,7.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,3610769,852/206,20.0000,14.0000,3.6000,3.6000,3.0000,0.1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,3668706,1790/428,17.6000,6.3000,43.7000,16.8000,22.0000,0.3700,8.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,21208,687/165,3.4000,0.6000,20.0000,4.7000,5.0000,0.0600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,4116633,1590/374,"0,5","0,1",94,86,"0,5","0,01","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,3729805,2087/501,32.0000,20.0000,43.0000,39.0000,6.2000,0.0200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,3729877,1951/465,18.1000,8.7000,65.5000,20.4000,7.8000,0.5500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,4060951,2311/555,35,"18,8","51,4","43,4","6,2","0,216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,3729796,1955/465,17.0000,8.2000,70.4000,21.5000,6.6000,0.4300,"2,3",,"0,16",,,,,,,,,,"2,3",,,,,,"2,3",,,,,,,,,,,,,,,
46,50493,413/100,8.8000,8.3000,2.3000,1.5000,1.2000,0.0800,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,45306,383/91,2.5000,1.7000,14.9000,14.2000,2.2000,0.1000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,4060954,2598/625,46.4000,22.3000,42.8000,41.8000,7.4000,0.1270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,45309,590/140,5.0000,4.4000,21.4000,20.2000,2.4000,0.1000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,28765,2313/555,35.0000,16.8000,50.0000,2.0000,8.0000,0.9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,22276,1644/388,"5,4",3,"85,4","49,1","0,1","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,4060957,2413/581,41.0000,18.2000,43.0000,40.0000,6.8000,0.0200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
