id,level,name,imageUrl,thumbnailUrl,mobileImageUrl,productCount,comparable,discountedCount,childCount,boutique,boutiqueContentType,boutiqueContentRef,slug,promotionContentType,promotionContentId,preferredDisplayStyle,promotionRecommendationCarouselId,linkColor
14229,0,Tudatos étrend,,,,0,False,0,0,True,redirect_url,https://online.auchan.hu/shop/tudatos-taplalkozas/egeszseges-eletmod.c-5552,tudatos-etrend,,,,,
6538,3,Friss tej,,,,23,False,3,0,False,,,friss-tej,banner,1528.0,,,
6541,3,Tartós (UHT) tej,,,,9,False,0,0,False,,,tartos-uht-tej,banner,1528.0,,,
6540,3,Tejitalok,,,,68,False,9,0,False,,,tejitalok,banner,1528.0,,,
6539,3,Egyedi tej,,,,2,False,0,0,False,,,egyedi-tej,banner,1528.0,,,
6543,3,"Növényi UHT italok, szója italok",,,,43,False,13,0,False,,,novenyi-uht-italok-szoja-italok,banner,1528.0,,,
14146,3,Tartós (UHT) tej 2.8%,,,,7,False,0,0,False,,,tartos-uht-tej-2-8pct,banner,1528.0,,,
6537,2,"Tejek, tejitalok, növényi italok",,,,152,False,25,6,False,,,tejek-tejitalok-novenyi-italok,banner,1528.0,,,
6311,3,Szeletelt és lapka sajtok,,,,73,False,7,0,False,,,szeletelt-es-lapka-sajtok,banner,1528.0,,,
6316,3,Reszelt sajt,,,,17,False,0,0,False,,,reszelt-sajt,banner,1528.0,,,
6250,3,"Friss, kenhető és ömlesztett sajtok",,,,157,False,9,0,False,,,friss-kenheto-es-omlesztett-sajtok,banner,1528.0,,,
6310,3,"Camambert, brie és egyéb lágy sajtok",,,,66,False,0,0,False,,,camambert-brie-es-egyeb-lagy-sajtok,banner,1528.0,,,
6298,3,Félkemény sajt,,,,48,False,3,0,False,,,felkemeny-sajt,banner,1528.0,,,
6306,3,Kemény sajt,,,,14,False,0,0,False,,,kemeny-sajt,banner,1528.0,,,
6305,3,Kékpenészes sajtok,,,,8,False,0,0,False,,,kekpeneszes-sajtok,banner,1528.0,,,
6904,3,Grill és snack sajtok,,,,49,False,5,0,False,,,grill-es-snack-sajtok,banner,1528.0,,,
6304,3,Kecske és juh sajtok,,,,26,False,0,0,False,,,kecske-es-juh-sajtok,banner,1528.0,,,
5680,2,Csomagolt sajtok,,,,458,False,24,9,False,,,csomagolt-sajtok,banner,1528.0,,,
6546,3,Tejföl - 25% zsírtartalom,,,,3,False,0,0,False,,,tejfol-25-zsirtartalom,banner,1528.0,,,
6545,3,Tejföl - 20% zsírtartalom,,,,21,False,1,0,False,,,tejfol-20-zsirtartalom,banner,1528.0,,,
6276,3,Tejföl - 12% zsírtartalom,,,,13,False,1,0,False,,,tejfol-12-zsirtartalom,banner,1528.0,,,
6275,3,Natúr kefir,,,,21,False,2,0,False,,,natur-kefir,banner,1528.0,,,
6274,3,Író,,,,2,False,0,0,False,,,iro,banner,1528.0,,,
6863,3,Növényi készítmény,,,,2,False,0,0,False,,,novenyi-keszitmeny,banner,1528.0,,,
5675,2,"Tejföl, kefir, finomföl",,,,62,False,4,6,False,,,tejfol-kefir-finomfol,banner,1528.0,,,
6243,3,Natúr és görög joghurt,,,,34,False,3,0,False,,,natur-es-gorog-joghurt,banner,1528.0,,,
6242,3,Joghurt italok,,,,47,False,9,0,False,,,joghurt-italok,banner,1528.0,,,
6241,3,Gyümölcs joghurt,,,,56,False,0,0,False,,,gyumolcs-joghurt,banner,1528.0,,,
6967,3,Light gyümölcsjoghurtok,,,,7,False,0,0,False,,,light-gyumolcsjoghurtok,banner,1528.0,,,
6968,3,Ízesített joghurtok,,,,26,False,5,0,False,,,izesitett-joghurtok,banner,1528.0,,,
6970,3,Réteges gyümölcs joghurt,,,,21,False,0,0,False,,,reteges-gyumolcs-joghurt,banner,1528.0,,,
5669,2,Joghurtok,,,,191,False,17,6,False,,,joghurtok,banner,1528.0,,,
6287,3,Hagyományos túró,,,,27,False,3,0,False,,,hagyomanyos-turo,banner,1528.0,,,
6286,3,Sűrített tej,,,,4,False,0,0,False,,,suritett-tej,banner,1528.0,,,
6285,3,Növényi krém,,,,8,False,0,0,False,,,novenyi-krem,banner,1528.0,,,
6284,3,Habtejszín,,,,16,False,0,0,False,,,habtejszin,banner,1528.0,,,
6283,3,Habspray,,,,7,False,2,0,False,,,habspray,banner,1528.0,,,
6282,3,Főzőtejszín,,,,16,False,0,0,False,,,fozotejszin,banner,1528.0,,,
6551,3,Light túró,,,,2,False,1,0,False,,,light-turo,banner,1528.0,,,
