,id,Energia (kJ / kcal),Zsír (g), Telített zsírsavak  (g),Szénhidrát  (g), Cukrok  (g),Rost  (g),Fehérje (g),Só (g),Riboflavin (mg), Egyszeresen telítetlen zsírsavak  (g),C vitamin (mg),B 12 vitamin (µg),Jód (µg),D vitamin (µg),B6 vitamin (mg),Biotin (µg),Kálium (mg),Kalcium (mg),Magnézium (mg),Vas (mg),Réz  (mg),Szelén (µg),Molibdén (µg),Nátrium (g), Többszörösen telítetlen zsírsavak  (g), Poliolok  (g), Keményítő  (g),E vitamin (mg),K vitamin (µg),Folsav (µg),Foszfor (mg), Ebből koleszterin,A vitamin (µg),Tiamin (mg),Niacin (mg),Pantoténsav (mg),Klorid (mg),Cink  (mg),Mangán  (mg),Fluor (µg),Króm (µg)
0,14914,1199/285,8.8000,4.8000,42.0000,2.3000,0.000000,8.3000,1.4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3963016,1091.830000/260.770000,7.670000,3.540000,45.350000,2.690000,3.840000,0.670000,3.840000,,"3,84","3,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4001800,1270/303,14.0000,7.6000,39.0000,17.0000,,4.1000,0.7800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4001797,1122/268,13.0000,7.0000,34.0000,14.0000,,3.7000,0.7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3988465,1755.000000/420.000000,23.400000,15.000000,42.400000,12.600000,,8.100000,0.840000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3989383,1023/244,"6,94","2,85","37,39","2,34",,"0,93","13,59",,"4,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3928974,657/155,1.8000,1.2000,27.0000,11.0000,,7.8000,0.6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3928977,718/170,3.5000,2.3000,26.0000,10.0000,,8.0000,0.6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3745845,1112,15,"5,6",30,"4,4","2,4","2,6","0,47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,3744619,1201,16,"6,7",28,"9,5",1,"6,6","0,46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,3744616,1242,18,"5,6",29,0,"0,8","3,8","0,55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,3744613,1414.000000/,18.000000,5.600000,39.000000,15.000000,1.300000,4.300000,0.470000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,3744607,1165.000000/,15.000000,5.600000,34.000000,13.000000,1.000000,2.800000,0.450000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,3745848,1295.000000/,17.000000,7.300000,29.000000,11.000000,0.800000,8.800000,0.470000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,3988447,1043.000000/249.000000,10.000000,6.000000,26.000000,3.600000,,12.000000,1.600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,3946829,1067.000000/255.000000,13.000000,3.100000,23.000000,3.600000,,11.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,3946832,975/232,"9,3","3,6",27,"3,9",,"9,9","1,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,4005770,1001/238,7.3000,3.5000,33.0000,3.7000,,9.6000,1.2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,4005773,996/230,6.6000,3.3000,33.0000,4.1000,,9.1000,1.1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,4006193,963/230,11.0000,4.8000,22.0000,2.1000,1.4000,10.0000,0.9800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,3743965,729/174,3.1000,0.3500,27.0000,4.3000,,9.4000,1.2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,4006196,936/223,9.1000,3.3000,24.0000,2.1000,1.3000,11.0000,1.3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,3724093,1034/248,14.0000,1.2000,19.0000,0.7000,0.8000,11.0000,1.1000,,,0.80000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,3962272,1024.900000/243.700000,8.900000,3.800000,36.100000,3.700000,1.700000,3.900000,1.400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,3962479,1052.200000/250.300000,9.800000,3.900000,34.900000,3.600000,1.900000,4.600000,1.500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,13666,799/191,8.6000,1.2000,14.7000,0.9000,,13.2000,1.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,3962275,851.200000/201.900000,5.600000,2.300000,33.000000,5.100000,1.400000,4.000000,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,3637005,831/198,9.0000,0.8000,16.0000,0.5000,0.6000,13.0000,0.8600,,,,0.7800,59.3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,4036189,502.000000/118.000000,0.500000,0.100000,27.000000,22.000000,,0.500000,0.020000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,4036222,813.000000/194.000000,8.800000,7.900000,26.000000,24.000000,,2.400000,0.150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,4036231,831.000000/198.000000,7.800000,6.900000,29.000000,24.000000,,2.300000,0.150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,4036234,872.000000/208.000000,8.500000,7.300000,30.000000,24.000000,,2.300000,0.440000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,4083268,698/166,"6,2","5,5",26,20,"<0,5","1,9","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,4036216,874.000000/209.000000,11.000000,8.400000,23.000000,21.000000,,3.300000,0.210000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,4036219,819.000000/195.000000,8.400000,7.300000,28.000000,24.000000,,2.100000,0.080000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,4036195,1194.000000/286.000000,18.000000,5.600000,27.000000,18.000000,,3.800000,0.160000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,4036213,885.000000/211.000000,10.000000,8.500000,27.000000,23.000000,,2.000000,0.080000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,4036186,696.000000/166.000000,5.500000,4.800000,27.000000,24.000000,,2.000000,0.090000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,4036204,853/204,"9,5","6,8",27,24,,"2,2","0,15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,3981739,2025/484,25.0000,7.0000,54.0000,6.0000,,9.1000,2.6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,3931093,1885/449,18.0000,5.3000,61.0000,4.7000,,9.0000,3.6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,3980209,1435/338,0.8000,0.2000,76.0000,0.8000,,5.3000,0.0500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,3980206,1435/338,0.8000,0.2000,76.0000,0.8000,,5.3000,0.0500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
