id,defaultVariant,productId,price,name,categoryId
490459,4027855,490459,79,Home komposztálható bevásárlószatyor 209x2x75x600 cm,10401
490450,4027843,490450,299,"Auchan bevásárlótáska, duplafülű",10401
490474,4027873,490474,499,Zöldség-gyümölcs retasak 3db 28x34 cm,10401
490453,4027849,490453,699,"Auchan karton doboz 39,8x29,8x30,4 cm",10401
490498,4027897,490498,699,"Auchan ünnepi bevásárló doboz 39,8x29,8x30,4 cm",10401
13366,13369,13366,205,"Kelly uzsonnás és hűtőtasak 2 l, 100 db",5944
425194,3962575,425194,249,Auchan Nívó Jégkockakészítő zacskó 24-es 15 db,5944
425191,3962572,425191,339,Auchan Nívó Cipzáras mélyhűtő tasak 1 l  25 db,5944
425197,3962578,425197,349,Auchan Nívó Visszazárható uzsonnás tasak 18 x 32 cm 20 db,5944
425182,3962563,425182,399,Auchan Nívó Mélyhűtő tasak záróklipsszel 1 l 50 db ,5944
441352,3978736,441352,409,GLOSSY Uzsonnás és hűtő tasak 3L,5944
425188,3962569,425188,459,Auchan Nívó Cipzáras mélyhűtő tasak 3 l 20 db ,5944
498787,4036189,498787,969,Auchan Nívó jégkrém feketeribizli 680G,13789
498820,4036222,498820,1099,"Auchan Nívó jégkrém créme brule 473,5G",13789
498829,4036231,498829,1099,Auchan Nívó jégkrém vanília-citrom-hcsók 500 G,13789
498832,4036234,498832,1099,Auchan Nívó jégkrém vanília-karamell 500G,13789
545878,4083268,545878,1119,Auchan Nívó vanilia fagylalt 500 g,13789
498814,4036216,498814,1249,Auchan Nívó jégkrém csokoládé 536 G,13789
498817,4036219,498817,1499,Auchan Nívó jégkrém kávé 500 G,13789
498793,4036195,498793,1499,Auchan Nívó Mogyorós jégkrémi 460 G,13789
498811,4036213,498811,1599,Auchan Nívó jégkrém csoki-menta 500 G,13789
498784,4036186,498784,1599,Auchan Nívó jégkrém karamell 500G,13789
498802,4036204,498802,1599,Auchan Nívó jégkrém pisztácia 512 G,13789
498781,4036183,498781,1599,Auchan Nívó jégkrém tripla csoki 513 G,13789
451057,3988447,451057,869,"Auchan Nívó Pizza 4 Sajtos, edami, mozzarella, kecskesajt,ementáli sajttal 370 g",5900
409472,3946829,409472,985,Auchan Nívó Pizza tonhalas gyorsfagyasztott 350 g,5900
409475,3946832,409475,1089,"Auchan Nívó Chorizos pizza mozzarella, ementáli, piros és sárga paprika 390 g",5900
99690,3636894,99690,1299,Dr. Oetker Feliciana gyorsfagyasztott négysajtos pizza 325 g,5900
468398,4005770,468398,1299,"Dr. Oetker Feliciana gyorsfagyasztott pizza sonkával, gombával és szalámival 335 g",5900
501815,4039211,501815,1299,"Dr. Oetker Ristorante Diavola gyorsfagyasztott pizza csípős szalámival, chilipaprikával 350 g",5900
